feature,importance
area_worst,0.14579602658579735
perimeter_worst,0.14150925138390488
concave_points_worst,0.10295543903629278
concave_points_mean,0.10046475521255537
radius_worst,0.07915018585144495
radius_mean,0.05606268804880711
perimeter_mean,0.055313461627772904
concavity_mean,0.04554294029342385
concavity_worst,0.03996722424832302
area_mean,0.03731276347835356
area_se,0.029402779838746406
texture_worst,0.017794844206669946
compactness_worst,0.016772517053895354
compactness_mean,0.01643812600891032
texture_mean,0.014755441422358573
smoothness_worst,0.014536533398119722
radius_se,0.013378581813102822
symmetry_worst,0.01230539390124656
perimeter_se,0.009449634535424255
smoothness_mean,0.00788995798824132
fractal_dimension_worst,0.006146557794511888
concavity_se,0.005883535379742316
fractal_dimension_se,0.0046307670966712604
compactness_se,0.004517046325384134
symmetry_mean,0.004307615116485983
smoothness_se,0.004073535630455413
texture_se,0.003965238054241152
symmetry_se,0.003332024391067414
concave_points_se,0.00318980766028284
fractal_dimension_mean,0.0031553266177665176
